law_id,state,bill_number,title,enactment_date,effective_date,status,primary_source_url,local_text_path,source_format,transport_policy,expected_raw_sha256,expected_text_marker,amends_law_id,inactive_from_date,superseded_by_law_id,mixed_effective_dates,collection_status,notes
AR-2025-HB1958,AR,HB1958,Act 848 Public Entity AI Policy,2025-04-17,2025-08-05,enacted,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT848.pdf,data/raw/supplement/AR-2025-HB1958.txt,pdf,strict,,,,,,false,ready,No emergency clause or specified date; Arkansas 2025 acts of this type became effective 2025-08-05
AZ-2025-HB2175,AZ,HB2175,Chapter 165 Prior Authorization and Claims,2025-05-12,2026-07-01,enacted,https://www.azleg.gov/legtext/57leg/1r/laws/0165.htm,data/raw/supplement/AZ-2025-HB2175.txt,html,strict,,,,,,false,ready,Requires individual medical-director review and bars sole reliance on other-source recommendations in medical-necessity denials
HI-2026-SB3001,HI,SB3001,Act 248 Artificial Intelligence Disclosure and Safety Act,2026-07-14,2026-07-14,enacted,https://data.capitol.hawaii.gov/sessions/session2026/Bills/GM1350_.PDF,data/raw/supplement/HI-2026-SB3001.txt,pdf,strict,,ACT 248,,,,true,ready,AI companion safeguards effective on approval; annual reporting begins 2028-01-01
NY-2025-S3008C,NY,S3008C,Chapter 58 Part U Artificial Intelligence Companion Models,2025-05-09,2025-11-05,enacted,https://legislation.nysenate.gov/pdf/bills/2025/S3008C,data/raw/supplement/NY-2025-S3008C.txt,pdf,strict,,,,,,false,ready,Part U became effective 180 days after Chapter 58 became law
UT-2025-HB452,UT,HB452,Artificial Intelligence Applications Relating to Mental Health,2025-03-25,2025-05-07,enacted,https://le.utah.gov/Session/2025/bills/enrolled/HB0452.pdf,data/raw/supplement/UT-2025-HB452.txt,pdf,strict,,,,,,false,ready,Mental-health chatbot protections and supplier policy safe harbor
UT-2025-SB226,UT,SB226,Artificial Intelligence Consumer Protection Amendments,2025-03-25,2025-05-07,enacted,https://le.utah.gov/Session/2025/bills/enrolled/SB0226.pdf,data/raw/supplement/UT-2025-SB226.txt,pdf,strict,,,,,,false,ready,Consumer AI disclosure and enforcement framework; also extends AI Policy Act repeal date
UT-2025-SB332,UT,SB332,Artificial Intelligence Revisions,2025-03-25,2025-05-07,enacted,https://le.utah.gov/Session/2025/bills/enrolled/SB0332.pdf,data/raw/supplement/UT-2025-SB332.txt,pdf,strict,,,,,,false,ready,Scope-only enactment extending the Artificial Intelligence Policy Act repeal date to 2027-07-01; expected to yield no substantive obligation row
