scenario,domain,coverage,mean_strength,strength_variance,binary_heterogeneity,states_covered,analysis_date
current,antidiscrimination,0.17281749553930648,0.4789751758955196,1.1285536871176152,0.28590321754965653,6,2026-08-25
current,child_safety,0.22585986014002954,0.5624331419691891,1.1406755098204342,0.3496943674351117,5,2026-08-25
current,consumer_notice,0.3427547844812797,0.3427547844812797,0.22527394219647118,0.4505478843929424,9,2026-08-25
current,developer_documentation,0.13057589324386012,0.13057589324386012,0.11352582934742818,0.22705165869485636,4,2026-08-25
current,explanation_appeal,0.12062770235604675,0.36188310706814025,0.9546899380231297,0.2121533195606955,3,2026-08-25
current,frontier_safety,0.11514643845089954,0.3454393153526986,0.9169896254667547,0.20377547232594548,1,2026-08-25
current,government_use,0.10238022043205969,0.30714066129617906,0.8270865980670828,0.18379702179268512,2,2026-08-25
current,harmful_use_restriction,0.2258190976553417,0.5623108545151255,1.140446189538047,0.3496496655789379,5,2026-08-25
current,health_restriction,0.2730717996672392,0.8192153990017176,1.7865323270436095,0.3970071837874688,5,2026-08-25
current,human_oversight,0.09193952088989127,0.19348212375599777,0.37833816122751,0.16697329077685705,6,2026-08-25
current,impact_assessment,0.10356900335113442,0.20713800670226884,0.3713698595839485,0.18568492979197426,2,2026-08-25
current,incident_reporting,0.207923576906744,0.207923576906744,0.16469136307304932,0.32938272614609865,2,2026-08-25
current,infrastructure,0.0,0.0,0.0,0.0,0,2026-08-25
current,model_evaluation,0.12146258428295435,0.2429251685659087,0.4268376996090424,0.21341884980452114,3,2026-08-25
current,public_transparency,0.13505161230709528,0.13505161230709528,0.1168126743203493,0.23362534864069862,3,2026-08-25
current,risk_management,0.2074325370126038,0.4148650740252076,0.6576171184044741,0.3288085592022371,8,2026-08-25
current,synthetic_content,0.11514643845089954,0.3454393153526986,0.9169896254667547,0.20377547232594548,1,2026-08-25
current,whistleblower_protection,0.11514643845089954,0.3454393153526986,0.9169896254667547,0.20377547232594548,1,2026-08-25
broad_ceiling,antidiscrimination,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,child_safety,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,consumer_notice,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,developer_documentation,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,explanation_appeal,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,frontier_safety,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,government_use,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,harmful_use_restriction,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,health_restriction,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,human_oversight,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,impact_assessment,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,incident_reporting,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,infrastructure,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,model_evaluation,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,public_transparency,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,risk_management,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,synthetic_content,0.0,0.0,0.0,0.0,0,2026-08-25
broad_ceiling,whistleblower_protection,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,antidiscrimination,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,child_safety,0.22585986014002954,0.5624331419691891,1.1406755098204342,0.3496943674351117,5,2026-08-25
eo14365_carveouts,consumer_notice,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,developer_documentation,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,explanation_appeal,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,frontier_safety,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,government_use,0.10238022043205969,0.30714066129617906,0.8270865980670828,0.18379702179268512,2,2026-08-25
eo14365_carveouts,harmful_use_restriction,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,health_restriction,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,human_oversight,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,impact_assessment,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,incident_reporting,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,infrastructure,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,model_evaluation,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,public_transparency,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,risk_management,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,synthetic_content,0.0,0.0,0.0,0.0,0,2026-08-25
eo14365_carveouts,whistleblower_protection,0.0,0.0,0.0,0.0,0,2026-08-25
federal_floor,antidiscrimination,1.0,1.3061576803562132,0.47910552474892915,0.0,51,2026-08-25
federal_floor,child_safety,1.0,1.3365732818291596,0.4447185511661687,0.0,51,2026-08-25
federal_floor,consumer_notice,1.0,1.0,0.0,0.0,51,2026-08-25
federal_floor,developer_documentation,1.0,1.0,0.0,0.0,51,2026-08-25
federal_floor,explanation_appeal,1.0,1.2412554047120934,0.42430663912139094,0.0,51,2026-08-25
federal_floor,frontier_safety,1.0,1.2302928769017991,0.4075509446518909,0.0,51,2026-08-25
federal_floor,government_use,1.0,1.2047604408641195,0.3675940435853702,0.0,51,2026-08-25
federal_floor,harmful_use_restriction,1.0,1.3364917568597838,0.4446103728340843,0.0,51,2026-08-25
federal_floor,health_restriction,1.0,1.5461435993344783,0.7940143675749375,0.0,51,2026-08-25
federal_floor,human_oversight,1.0,1.1015426028661064,0.11043786662171316,0.0,51,2026-08-25
federal_floor,impact_assessment,1.0,1.1035690033511345,0.09284246489598712,0.0,51,2026-08-25
federal_floor,incident_reporting,1.0,1.0,0.0,0.0,51,2026-08-25
federal_floor,infrastructure,1.0,1.0,0.0,0.0,51,2026-08-25
federal_floor,model_evaluation,1.0,1.1214625842829544,0.10670942490226054,0.0,51,2026-08-25
federal_floor,public_transparency,1.0,1.0,0.0,0.0,51,2026-08-25
federal_floor,risk_management,1.0,1.2074325370126038,0.16440427960111853,0.0,51,2026-08-25
federal_floor,synthetic_content,1.0,1.2302928769017991,0.4075509446518909,0.0,51,2026-08-25
federal_floor,whistleblower_protection,1.0,1.2302928769017991,0.4075509446518909,0.0,51,2026-08-25
