scenario,domain,coverage,mean_strength,strength_variance,binary_heterogeneity,states_covered,analysis_date
federal_floor,government_use,1.0,1.2047604408641195,0.3675940435853702,0.0,51,2027-01-01
federal_floor,harmful_use_restriction,1.0,1.3840147019737623,0.464414498386966,0.0,51,2027-01-01
federal_floor,health_restriction,1.0,1.581326907645882,0.82471284173864,0.0,51,2027-01-01
federal_floor,human_oversight,1.0,1.13672591117751,0.17242140865402383,0.0,51,2027-01-01
federal_floor,impact_assessment,1.0,1.1035690033511345,0.09284246489598712,0.0,51,2027-01-01
federal_floor,incident_reporting,1.0,1.0,0.0,0.0,51,2027-01-01
federal_floor,infrastructure,1.0,1.0,0.0,0.0,51,2027-01-01
federal_floor,model_evaluation,1.0,1.1799860284623436,0.147591058020696,0.0,51,2027-01-01
federal_floor,public_transparency,1.0,1.0,0.0,0.0,51,2027-01-01
federal_floor,risk_management,1.0,1.2199362682706565,0.17156430616983434,0.0,51,2027-01-01
federal_floor,synthetic_content,1.0,1.2302928769017991,0.4075509446518909,0.0,51,2027-01-01
federal_floor,whistleblower_protection,1.0,1.251876606692379,0.4403113883858907,0.0,51,2027-01-01
